formula,anon,label
"Ag: 1, Au: 2, S: 2","elem_3063: 1, elem_4442: 2, elem_9062: 2",1
"Ag: 1, W: 6, Br: 14","elem_3063: 1, elem_7486: 6, elem_1698: 14",1
"Ag: 0.5, Ge: 1, Pb: 1.75, S: 4","elem_3063: 0.5, elem_6419: 1, elem_5427: 1.75, elem_9062: 4",0
"Ag: 0.5, Ge: 1, Pb: 1.75, Se: 4","elem_3063: 0.5, elem_6419: 1, elem_5427: 1.75, elem_7611: 4",0
"Ag: 2, B: 1, Br: 1","elem_3063: 2, elem_8033: 1, elem_1698: 1",1
"Ag: 2, Bi: 1, O: 3","elem_3063: 2, elem_9183: 1, elem_9902: 3",1
"Ag: 2, Ge: 1, S: 3","elem_3063: 2, elem_6419: 1, elem_9062: 3",0
"Ag: 2, Ge: 1, Se: 3","elem_3063: 2, elem_6419: 1, elem_7611: 3",0
"Ag: 2, Ge: 1, Te: 3","elem_3063: 2, elem_6419: 1, elem_4345: 3",0
"Ag: 2, Hg: 1, I: 4","elem_3063: 2, elem_7286: 1, elem_7655: 4",0
"Ag: 2, Mo: 1, I: 4, O: 14","elem_3063: 2, elem_3373: 1, elem_7655: 4, elem_9902: 14",0
"Ag: 2, O: 1","elem_3063: 2, elem_9902: 1",0
"Ag: 2, P: 2, Pb: 1, O: 7","elem_3063: 2, elem_4874: 2, elem_5427: 1, elem_9902: 7",1
"Ag: 2, Pd: 1, O: 2","elem_3063: 2, elem_8322: 1, elem_9902: 2",0
"Ag: 2, S: 1","elem_3063: 2, elem_9062: 1",0
"Ag: 2, Sn: 1, S: 3","elem_3063: 2, elem_8076: 1, elem_9062: 3",0
"Ag: 2, Sn: 1, Se: 3","elem_3063: 2, elem_8076: 1, elem_7611: 3",0
"Ag: 3, As: 1, O: 4","elem_3063: 3, elem_2057: 1, elem_9902: 4",1
"Ag: 3, As: 1, S: 3","elem_3063: 3, elem_2057: 1, elem_9062: 3",0
"Ag: 3, As: 1, Se: 3","elem_3063: 3, elem_2057: 1, elem_7611: 3",0
"Ag: 3, Pd: 1","elem_3063: 3, elem_8322: 1",1
"Ag: 3, Ru: 1, O: 4","elem_3063: 3, elem_9197: 1, elem_9902: 4",1
"Ag: 3, Sb: 1, S: 3","elem_3063: 3, elem_3476: 1, elem_9062: 3",0
"Ag: 5, I: 1, O: 6","elem_3063: 5, elem_7655: 1, elem_9902: 6",0
"Ag: 7, S: 2, I: 2","elem_3063: 7, elem_9062: 2, elem_7655: 2",1
"Ag: 7, As: 1, S: 6","elem_3063: 7, elem_2057: 1, elem_9062: 6",0
"Ag: 7, As: 1, Se: 6","elem_3063: 7, elem_2057: 1, elem_7611: 6",0
"Ag: 7, N: 1, O: 11","elem_3063: 7, elem_4922: 1, elem_9902: 11",1
"Ag: 8, Ge: 1, S: 6","elem_3063: 8, elem_6419: 1, elem_9062: 6",0
"Ag: 8, Sn: 1, Se: 6","elem_3063: 8, elem_8076: 1, elem_7611: 6",0
"Ag: 9, Pb: 4, O: 12","elem_3063: 9, elem_5427: 4, elem_9902: 12",1
"Ag: 9, Ge: 2, I: 1, O: 8","elem_3063: 9, elem_6419: 2, elem_7655: 1, elem_9902: 8",1
"Ag: 1, As: 1, S: 2","elem_3063: 1, elem_2057: 1, elem_9062: 2",0
"Ag: 1, As: 1, Se: 2","elem_3063: 1, elem_2057: 1, elem_7611: 2",0
"Ag: 1, Au: 3","elem_3063: 1, elem_4442: 3",1
"Ag: 1, Bi: 1, P: 2, S: 6","elem_3063: 1, elem_9183: 1, elem_4874: 2, elem_9062: 6",0
"Ag: 1, Bi: 1, P: 2, Se: 6","elem_3063: 1, elem_9183: 1, elem_4874: 2, elem_7611: 6",0
"Ag: 1, Bi: 1, Pb: 1, S: 3","elem_3063: 1, elem_9183: 1, elem_5427: 1, elem_9062: 3",0
"Ag: 1, Bi: 1, Pb: 1, Se: 3","elem_3063: 1, elem_9183: 1, elem_5427: 1, elem_7611: 3",0
"Ag: 1, Bi: 1, S: 2","elem_3063: 1, elem_9183: 1, elem_9062: 2",0
"Ag: 1, Bi: 1, Se: 2","elem_3063: 1, elem_9183: 1, elem_7611: 2",0
"Ag: 1, Br: 1","elem_3063: 1, elem_1698: 1",0
"Ag: 1, C: 1, N: 1, O: 1","elem_3063: 1, elem_2375: 1, elem_4922: 1, elem_9902: 1",1
"Ag: 1, Cl: 1","elem_3063: 1, elem_7530: 1",0
"Ag: 1, F: 1","elem_3063: 1, elem_6130: 1",0
"Ag: 1, Ge: 1, O: 3","elem_3063: 1, elem_6419: 1, elem_9902: 3",1
"Ag: 1, I: 1","elem_3063: 1, elem_7655: 1",0
"Ag: 1, N: 3","elem_3063: 1, elem_4922: 3",0
"Ag: 1, O: 1","elem_3063: 1, elem_9902: 1",0
"Ag: 1, P: 15","elem_3063: 1, elem_4874: 15",0
"Ag: 1, Pd: 1, I: 3, O: 9","elem_3063: 1, elem_8322: 1, elem_7655: 3, elem_9902: 9",0
"Ag: 1, Pd: 1, O: 2","elem_3063: 1, elem_8322: 1, elem_9902: 2",1
"Ag: 1, Pt: 3","elem_3063: 1, elem_4859: 3",1
"Ag: 1, S: 1","elem_3063: 1, elem_9062: 1",0
"Ag: 1, S: 1, O: 4","elem_3063: 1, elem_9062: 1, elem_9902: 4",0
"Ag: 1, Sb: 1, S: 2","elem_3063: 1, elem_3476: 1, elem_9062: 2",0
"Ag: 1, Sb: 1, Se: 2","elem_3063: 1, elem_3476: 1, elem_7611: 2",0
"Ag: 1, Sb: 1, Te: 2","elem_3063: 1, elem_3476: 1, elem_4345: 2",0
"Ag: 1, Te: 1","elem_3063: 1, elem_4345: 1",0
"Ag: 1, Te: 2, As: 1","elem_3063: 1, elem_4345: 2, elem_2057: 1",0
"Al: 1, Ni: 20, B: 14","elem_3486: 1, elem_7611: 20, elem_8033: 14",1
"Al: 1, Ni: 2, S: 4","elem_3486: 1, elem_7611: 2, elem_9062: 4",1
"Al: 0.01, Cd: 0.99, Sb: 0.01, Te: 0.99","elem_3486: 0.01, elem_1400: 0.99, elem_3476: 0.01, elem_4345: 0.99",0
"Al: 0.01, Ga: 0.99, P: 1","elem_3486: 0.01, elem_6849: 0.99, elem_4874: 1",0
"Al: 0.01, In: 0.99, P: 1","elem_3486: 0.01, elem_2476: 0.99, elem_4874: 1",0
"Al: 0.05, Cd: 0.95, Sb: 0.05, Te: 0.95","elem_3486: 0.05, elem_1400: 0.95, elem_3476: 0.05, elem_4345: 0.95",0
"Al: 0.15, Ga: 0.85, As: 1","elem_3486: 0.15, elem_6849: 0.85, elem_2057: 1",0
