label,cell_sentence,anon
0,SF3B5 LYRM4 CCL4 CCL3 LIMD2 ID2 CAPZB TRAF3IP3 ATP6V0E1 HLA-DPA1 LGALS1 GSTP1 ARPC1B RTFDC1 TAOK3 MAL ZAP70 ATP6V0E2 PTPRN2 PSMA7 ZYX YWHAB WDR45 SAMD9L LRRK2 RNF113A CCDC124 CCND2 FCER1G TBCB HNRNPL CKS1B PRSS23 PRKD2 CYTH2 C1orf162 ORMDL2 UBXN4 CHMP4A RBCK1 PGRMC2 HAGH FAM96B IGFBP7 H2AFY UNC45A MESDC2 CYBA CSNK1A1 HAVCR2,feat_513 feat_445 feat_1156 feat_1155 feat_1187 feat_154 feat_14 feat_129 feat_438 feat_478 feat_1399 feat_802 feat_556 feat_1265 feat_894 feat_189 feat_190 feat_573 feat_581 feat_1269 feat_571 feat_1256 feat_601 feat_554 feat_848 feat_619 feat_1328 feat_831 feat_109 feat_1343 feat_1349 feat_92 feat_809 feat_1363 feat_1368 feat_69 feat_861 feat_202 feat_932 feat_1226 feat_386 feat_1047 feat_1093 feat_360 feat_420 feat_1035 feat_1031 feat_1107 feat_430 feat_432
1,ATP5O SF3B5 ELP5 TOMM40 REEP3 ARHGAP11A IL32 GIMAP7 NT5C3A TRAF3IP3 LTB CYBA PTPRCAP SF3B1 S100A6 LGALS3 SMDT1 DYNLT1 HLA-DPA1 ALKBH7 SNRNP27 PRDX1 SAT1 RRS1 CD79B RBM3 VDAC3 SRSF3 MKKS PSME1 CSNK2B HINT1 MAL YWHAB S100A11 IRF7 TMBIM6 STK17A C12orf10 IDH3G NPHP3 RUNDC1 SELL ECHDC1 HSP90AA1 ATP5SL TAPBP RP11-430B1.2 CTSS ACAP1,feat_1416 feat_513 feat_1127 feat_1361 feat_731 feat_990 feat_1050 feat_574 feat_533 feat_129 feat_463 feat_1107 feat_799 feat_219 feat_87 feat_951 feat_1406 feat_521 feat_478 feat_1291 feat_177 feat_43 feat_591 feat_649 feat_1189 feat_596 feat_642 feat_485 feat_1234 feat_930 feat_467 feat_414 feat_189 feat_1256 feat_84 feat_756 feat_853 feat_535 feat_857 feat_628 feat_306 feat_1171 feat_114 feat_507 feat_979 feat_1354 feat_481 feat_1007 feat_79 feat_1128
1,RAB34 ABRACL S100A6 ACTN4 NUDT5 LTB GTF3A STX4 CHD2 SUMO3 GIMAP7 SIVA1 SRGN CYBA HLA-DPB1 HLA-DRB1 SRSF5 RORA ATP5H CCL4 RASGRP2 TMEM14B MYADM ECHDC1 RNF113A UBXN1 RFC1 CHPF2 RAB7A GIMAP5 KIR3DL2 SERPINB1 PPP6C GIMAP2 C9orf16 GIMAP4 VAMP8 ARPC4 LYAR ABT1 BTN3A2 UBAC2 MED30 ANAPC13 PCSK7 CCND2 C19orf24 ATP5D UBB CWC15,feat_1147 feat_511 feat_87 feat_1347 feat_717 feat_463 feat_907 feat_1079 feat_1037 feat_1419 feat_574 feat_983 feat_733 feat_1107 feat_479 feat_472 feat_963 feat_1015 feat_1195 feat_1156 feat_790 feat_448 feat_1376 feat_507 feat_619 feat_785 feat_351 feat_578 feat_303 feat_577 feat_1381 feat_444 feat_696 feat_576 feat_698 feat_575 feat_186 feat_247 feat_341 feat_456 feat_454 feat_921 feat_662 feat_310 feat_819 feat_831 feat_1278 feat_1277 feat_1135 feat_814
1,RAD51B POLR3K STAMBP S100A6 DIAPH1 LAMTOR1 RNF187 RAB7A IL32 ARF6 GIMAP7 VPS13C HENMT1 UBB PCMT1 ARPC1B SRGN GIMAP4 CD37 CD2 GIMAP2 VAMP8 HNRNPM TMBIM6 PIK3R1 CAPZB ATP5D PDIA3 SLA GPR171 C17orf59 FAM173A ISY1 HAGH COMMD8 CYBA SRP72 NNT-AS1 LITAF KARS C4orf3 POLR3E PRPF8 PRMT2 ABI3 PSMC4 CD48 LINC00662 NCF2 MYO9B,feat_960 feat_1039 feat_180 feat_87 feat_425 feat_803 feat_142 feat_303 feat_1050 feat_945 feat_574 feat_1016 feat_61 feat_1135 feat_518 feat_556 feat_733 feat_575 feat_1370 feat_74 feat_576 feat_186 feat_1297 feat_853 feat_404 feat_14 feat_1277 feat_1002 feat_667 feat_315 feat_1133 feat_1044 feat_304 feat_1047 feat_354 feat_1107 feat_358 feat_399 feat_1058 feat_1102 feat_384 feat_1063 feat_1114 feat_1421 feat_1180 feat_1352 feat_104 feat_1337 feat_119 feat_1322
1,FLOT1 IL32 LYAR SRSF5 HINT1 ARL6IP5 MCM3 PTPRCAP FAM107B TMEM165 TRAF3IP3 LGALS1 PSMA7 PAFAH1B1 INO80C SF3B1 CDC42EP3 AQP3 CSRP1 DGKZ TALDO1 P2RY10 NONO LYRM4 DOCK10 TMEM14B GIMAP7 RIC3 TMEM9B GIMAP4 ISCA2 RAB7A BUB3 DESI1 PNRC1 LSM14A UBXN1 TMBIM6 RP5-1028K7.2 TBCB BLCAP FUS SUCLG2 ACADM C9orf142 HLA-DPA1 ATP6V0E1 RBM3 LMF2 S100A6,feat_459 feat_1050 feat_341 feat_963 feat_414 feat_288 feat_492 feat_799 feat_720 feat_357 feat_129 feat_1399 feat_1269 feat_1116 feat_1219 feat_219 feat_168 feat_677 feat_123 feat_774 feat_758 feat_608 feat_607 feat_445 feat_233 feat_448 feat_574 feat_765 feat_766 feat_575 feat_968 feat_303 feat_749 feat_1405 feat_498 feat_1340 feat_785 feat_853 feat_1164 feat_1343 feat_1251 feat_1080 feat_286 feat_50 feat_711 feat_478 feat_438 feat_596 feat_1412 feat_87
1,DDX46 RBM3 ATP5H LRIG2 TMBIM6 ARGLU1 SRSF3 ITSN2 ID2 CEP85L SDHAF2 ACADVL ARF6 NR3C1 GNPAT INIP PSMA1 PPP6C DPY30 ATP5D CHMP4A KARS CCDC94 NARG2 MTIF3 DRAM2 PSMB8 EIF5 CD48 HLA-DRB1 PROK2 CCDC124 BBX BABAM1 UBB TAF1D S100A6 RAD23A LAMTOR1 PCNX PDIA3 PTPRCAP DENND2D C5orf56 LTB SURF1 IDH3G OCIAD1 MRP63 C1orf86,feat_419 feat_596 feat_1195 feat_71 feat_853 feat_923 feat_485 feat_160 feat_154 feat_506 feat_783 feat_1126 feat_945 feat_427 feat_145 feat_692 feat_767 feat_696 feat_166 feat_1277 feat_932 feat_1102 feat_1286 feat_1014 feat_908 feat_65 feat_475 feat_980 feat_104 feat_472 feat_289 feat_1328 feat_294 feat_1323 feat_1135 feat_812 feat_87 feat_1313 feat_803 feat_964 feat_1002 feat_799 feat_67 feat_415 feat_463 feat_704 feat_628 feat_355 feat_906 feat_3
1,DNAJA1 HOPX ABT1 IFITM3 IL32 SELL UBB PTPRCAP CYBA FCER1G GIMAP7 CD37 LIMD2 PSMA7 SRGN SERPINB1 PNRC1 SPTSSB TIGIT ALKBH7 HNRNPM GSTP1 ID2 RTFDC1 SPRTN C9orf16 ATP5C1 MLLT6 SNW1 GTF3A RNF187 BLCAP DNAJC15 IER3 C1orf162 WARS2 NDUFB8-1 NKTR TNFRSF9 SPSB2 COMMD8 SRPR SLC50A1 C12orf10 CHIC2 SRP9 ATP5SL RAD23A KLF13 HLA-DRB1,feat_676 feat_359 feat_456 feat_755 feat_1050 feat_114 feat_1135 feat_799 feat_1107 feat_109 feat_574 feat_1370 feat_1187 feat_1269 feat_733 feat_444 feat_498 feat_318 feat_297 feat_1291 feat_1297 feat_802 feat_154 feat_1265 feat_146 feat_698 feat_716 feat_1162 feat_972 feat_907 feat_142 feat_1251 feat_914 feat_460 feat_69 feat_75 feat_743 feat_262 feat_6 feat_836 feat_354 feat_824 feat_93 feat_857 feat_356 feat_136 feat_1354 feat_1313 feat_989 feat_472
1,IL32 PSME1 CYBA LTB UBB GABARAPL2 DEF6 ID2 HLA-DPB1 CDC37 RAB7A HSP90AA1 KIF5B SRSF5 GYG1 CD79B YIPF3 LYAR KLRG1 ICAM2 SNHG8 SRGN S100A6 NT5C PPP1R2 CD48 ARPC5L GIMAP4 S100A11 HLA-DQA1 IL27RA CDK19 DNAJA1 HDAC2 ISY1 RP5-827C21.4 SNW1 SF3B5 ATP5SL C12orf10 CDKN2A TMBIM6 C5AR1 SLC27A1 TNFSF10 SELL PRKD2 PIGX CPQ POLR2I,feat_1050 feat_930 feat_1107 feat_463 feat_1135 feat_1101 feat_482 feat_154 feat_479 feat_1300 feat_303 feat_979 feat_724 feat_963 feat_313 feat_1189 feat_489 feat_341 feat_839 feat_1190 feat_383 feat_733 feat_87 feat_1197 feat_330 feat_104 feat_694 feat_575 feat_84 feat_473 feat_1314 feat_504 feat_676 feat_505 feat_304 feat_147 feat_972 feat_513 feat_1354 feat_857 feat_675 feat_853 feat_1365 feat_1325 feat_319 feat_114 feat_1363 feat_333 feat_658 feat_1342
1,LTB SAT1 METTL8 IL32 S100A6 ARPC1B GIMAP7 S100A11 ID2 CD37 AQP3 HSP90AA1 VAMP8 LYAR SRSF5 LIMD2 STK17A GIMAP5 GTF3A TNFRSF4 AHSA1 GPR171 SNX3 EIF5 UBB UBE3A CD2 PSMB8 PYCARD C3orf38 ABRACL LGALS1 RTFDC1 RBM4 PTPRCAP NDUFB8-1 TMBIM6 C1orf86 SDHAF2 GADD45B SLBP FAM32A YPEL3 ILF3-AS1 ELOF1 TNFSF12 PARP1 PSMB6 PPA2 YWHAE,feat_463 feat_591 feat_208 feat_1050 feat_87 feat_556 feat_574 feat_84 feat_154 feat_1370 feat_677 feat_979 feat_186 feat_341 feat_963 feat_1187 feat_535 feat_577 feat_907 feat_0 feat_971 feat_315 feat_502 feat_980 feat_1135 feat_987 feat_74 feat_475 feat_1081 feat_290 feat_511 feat_1399 feat_1265 feat_796 feat_799 feat_743 feat_853 feat_3 feat_783 feat_1281 feat_337 feat_1319 feat_1074 feat_1302 feat_1309 feat_1130 feat_138 feat_1120 feat_379 feat_1112
0,DYNLL1 SRGN CYBA CD160 ID2 FCER1G LGALS1 RALY MPHOSPH10 FCRL6 APOBEC3G PSMB8 GTF3A ATP5C1 MVD GADD45B PSME1 HAVCR2 SRSF5 CCL3 HOPX ARPC5L LIMD2 ARPC1B UBB HNRNPM PTPRCAP LAMTOR5 STOML2 C17orf62 SAT1 VAMP8 SLC25A11 TCP1 STRA13 RORA RP5-1073O3.7 TXNDC17 NUDT1 PKN2 PTPRN2 COMMD4 TPM1 PRMT2 PRSS23 IDH3G TRAF3IP3 ARL6IP5 SMIM7 C1orf198,feat_895 feat_733 feat_1107 feat_77 feat_154 feat_109 feat_1399 feat_1244 feat_178 feat_101 feat_1402 feat_475 feat_907 feat_716 feat_1108 feat_1281 feat_930 feat_432 feat_963 feat_1155 feat_359 feat_694 feat_1187 feat_556 feat_1135 feat_1297 feat_799 feat_64 feat_679 feat_1209 feat_591 feat_186 feat_1121 feat_524 feat_1206 feat_1015 feat_73 feat_1123 feat_525 feat_55 feat_581 feat_1026 feat_1017 feat_1421 feat_809 feat_628 feat_129 feat_288 feat_1321 feat_144
