label,cell_sentence,anon
1,LTB GIMAP7 HNRNPA1 IL32 S100A4 FTL RGS10 GYPC CD52 CD37 PTPRCAP BTG1 RPS24 CLIC1 NOSIP NHP2 TCEB2 ERP29 SSR4 ANP32B CD3D PPIB NPM1 CCL5 NDUFA11 SOD1 SUMO2 EID1 HNRNPF GABARAPL2 C10orf118 ISG20 LMAN2 SAP18 DUSP2 EIF4A2 COX7C PTPRC GZMK RPL36AL CCDC109B IL7R NDUFB2 ATP6V1G1 TOMM7 ATP5J2 ITGB2 NINJ2 TLN1 COA3,feat_4328 feat_4533 feat_7136 feat_3650 feat_7123 feat_2874 feat_9828 feat_5784 feat_8942 feat_4027 feat_4624 feat_4733 feat_1291 feat_3591 feat_7360 feat_5759 feat_2897 feat_1728 feat_3236 feat_9629 feat_3742 feat_1140 feat_8954 feat_4902 feat_7876 feat_3658 feat_9415 feat_1820 feat_9449 feat_1468 feat_5356 feat_9813 feat_7334 feat_2452 feat_8037 feat_9597 feat_1693 feat_6244 feat_5577 feat_5534 feat_8580 feat_7056 feat_7038 feat_7095 feat_4296 feat_4288 feat_3838 feat_1640 feat_1558 feat_7738
0,CD74 HLA-DRA HLA-DRB1 LYZ CST3 HLA-DPA1 FTL HLA-DQA1 S100A4 HLA-DPB1 FCER1A HLA-DQB1 S100A6 VIM HLA-DRB5 HNRNPA1 CAPG GSTP1 RPS24 S100A9 CLIC1 TYROBP ANXA1 FCN1 AP2S1 HLA-DMA CD37 GPX1 HLA-DMB PARK7 H2AFY CNPY3 EIF4A1 AMICA1 NPM1 TXNIP HIGD2A S100A8 LST1 CD63 PPIA PKM TIMP1 CD52 ITGB2 RPL36AL CPVL SERPINB1 FGR HHEX,feat_3520 feat_9426 feat_3453 feat_4627 feat_2965 feat_6812 feat_2874 feat_9741 feat_7123 feat_1083 feat_4168 feat_8479 feat_5447 feat_8753 feat_4259 feat_7136 feat_2200 feat_2788 feat_1291 feat_4129 feat_3591 feat_8829 feat_3753 feat_3548 feat_2736 feat_2955 feat_4027 feat_4053 feat_9893 feat_9306 feat_8635 feat_6393 feat_9708 feat_7453 feat_8954 feat_6476 feat_6886 feat_3220 feat_7917 feat_6912 feat_9151 feat_2649 feat_8779 feat_8942 feat_3838 feat_5534 feat_7452 feat_6809 feat_1773 feat_7058
0,CD74 HLA-DRA LYZ CST3 HLA-DRB1 HLA-DPA1 HLA-DPB1 HLA-DRB5 FTL RPS24 HLA-DQA1 FCER1A S100A4 BTG1 GSTP1 FOS CFP TYROBP JUNB HLA-DQB1 ANXA1 S100A10 EIF4A1 S100A6 HNRNPA1 VIM C1orf162 HLA-DQA2 PPIA S100A9 NPM1 COPE EIF3L DDX5 TPM3 AP2S1 RNF130 CLIC1 RNH1 TALDO1 IFI30 AIF1 SSU72 CD52 RPL39 ACAA1 FCER1G HLA-DMB SRP14 ITGB2,feat_3520 feat_9426 feat_4627 feat_2965 feat_3453 feat_6812 feat_1083 feat_4259 feat_2874 feat_1291 feat_9741 feat_4168 feat_7123 feat_4733 feat_2788 feat_2520 feat_3066 feat_8829 feat_7375 feat_8479 feat_3753 feat_3051 feat_9708 feat_5447 feat_7136 feat_8753 feat_8840 feat_1067 feat_9151 feat_4129 feat_8954 feat_1014 feat_8036 feat_7448 feat_2747 feat_2736 feat_1817 feat_3591 feat_3093 feat_1944 feat_7466 feat_4184 feat_9741 feat_8942 feat_8347 feat_3139 feat_2165 feat_9893 feat_8635 feat_3838
0,IGLL5 CD74 IGJ PPIB FTL UBE2J1 CD79A ISG20 CD52 TRAF3IP3 CD27 SSR4 TAPBP TOMM7 COPE PTPRCAP TNFRSF17 ERP29 SPCS2 BTG1 EIF3L RPS24 NDUFA11 GNG7 CLIC1 TRAPPC1 EAF2 AP2S1 IL2RG NDUFB11 AL928768.3 LGALS3 RPL36AL PARK7 MS4A1 CTSH MZB1 CUTA TMBIM6 ERLEC1 SMARCB1 NDUFA8 SRSF7 SEPT9 IDH2 MZT2B PSMA7 NDUFAB1 GPX1 S1PR4,feat_2628 feat_3520 feat_3612 feat_1140 feat_2874 feat_8265 feat_2649 feat_9813 feat_8942 feat_1371 feat_2815 feat_3236 feat_3480 feat_4296 feat_1014 feat_4624 feat_2569 feat_1728 feat_5437 feat_4733 feat_8036 feat_1291 feat_7876 feat_2765 feat_3591 feat_3385 feat_5423 feat_2736 feat_9476 feat_1743 feat_7884 feat_4377 feat_5534 feat_9306 feat_3160 feat_7980 feat_9221 feat_1009 feat_7290 feat_8762 feat_1491 feat_9494 feat_2267 feat_4168 feat_5188 feat_7631 feat_8264 feat_4313 feat_4053 feat_8647
1,CCL5 VIM STMN1 IL32 SEPT7 GZMA FTL COX6A1 NKG7 S100A4 PPIA GNLY GZMK HMGB2 HNRNPA1 NDUFA4 JUNB CTSW EIF4A1 CALM1 NAP1L1 NPM1 BTG1 HOPX S100A6 RPS24 PPDPF H1FX GZMH COPE PRF1 H2AFY PKM PSME2 TOMM7 ANXA1 EID1 RPL36AL PRDX2 GPX4 C19orf43 SRP14 CRIP1 ANP32B DUSP2 LDHB CD52 ATP6V0E1 DGCR6L NDUFS5,feat_4902 feat_8753 feat_9375 feat_3650 feat_7004 feat_1423 feat_2874 feat_7923 feat_4913 feat_7123 feat_9151 feat_2666 feat_5577 feat_1235 feat_7136 feat_6255 feat_7375 feat_4725 feat_9708 feat_8923 feat_7194 feat_8954 feat_4733 feat_8063 feat_5447 feat_1291 feat_2299 feat_8284 feat_3501 feat_1014 feat_6153 feat_8635 feat_2649 feat_1548 feat_4296 feat_3753 feat_1820 feat_5534 feat_4659 feat_9860 feat_7376 feat_8635 feat_1562 feat_9629 feat_8037 feat_4687 feat_8942 feat_6898 feat_9863 feat_6394
1,CCL5 GNLY NKG7 BTG1 IFITM2 S100A4 CD3E RPS24 LTB FTL S100A6 CD52 CD3D CTSW NPM1 GZMM NOSIP GIMAP7 HNRNPA1 FGFBP2 GZMB DDX5 PLAC8 VIM EIF4A1 CLIC1 S100A10 JUNB PARK7 SRP14 CALM1 TINF2 CALR GZMH ISG20 COPE GZMA LDHB IL32 LAT NAP1L1 PSMD7 NDUFA4 HSP90AB1 EIF3I IL2RG GSTK1 MARCKSL1 NDUFA11 ATP5O,feat_4902 feat_2666 feat_4913 feat_4733 feat_7112 feat_7123 feat_6127 feat_1291 feat_4328 feat_2874 feat_5447 feat_8942 feat_3742 feat_4725 feat_8954 feat_2445 feat_7360 feat_4533 feat_7136 feat_2168 feat_3876 feat_7448 feat_3212 feat_8753 feat_9708 feat_3591 feat_3051 feat_7375 feat_9306 feat_8635 feat_8923 feat_5813 feat_8275 feat_3501 feat_9813 feat_1014 feat_1423 feat_4687 feat_3650 feat_4377 feat_7194 feat_3283 feat_6255 feat_8569 feat_8045 feat_9476 feat_7035 feat_9766 feat_7876 feat_4802
0,FTL CST3 LST1 S100A4 TYROBP AIF1 JUNB CFD FCGR3A RPS24 LYPD2 S100A6 FCER1G C10orf54 VIM CFP BTG1 ERP29 IFITM3 NFKBIA TIMP1 RNH1 COX6A1 GSTK1 TKT ABI3 LY6E PPDPF FCN1 GSTP1 CD74 FOS HCST CSTB RHOC PSMA7 SNHG15 CD53 ICAM3 LYL1 H2AFY CD79B PSAP SRGN EIF4A1 C1QA TNFRSF1B CCNI ATP6V1G1 CORO1B,feat_2874 feat_2965 feat_7917 feat_7123 feat_8829 feat_4184 feat_7375 feat_6736 feat_6375 feat_1291 feat_4900 feat_5447 feat_2165 feat_9981 feat_8753 feat_3066 feat_4733 feat_1728 feat_7086 feat_4361 feat_8779 feat_3093 feat_7923 feat_7035 feat_8938 feat_1074 feat_7493 feat_2299 feat_3548 feat_2788 feat_3520 feat_2520 feat_5106 feat_8576 feat_4375 feat_8264 feat_4543 feat_3836 feat_8617 feat_8480 feat_8635 feat_7318 feat_3675 feat_6817 feat_9708 feat_7819 feat_1805 feat_2826 feat_7095 feat_5375
0,FTL CD74 S100A4 FCN1 AIF1 LST1 HLA-DRA HLA-DPB1 CST3 FCER1G HLA-DRB1 RPS24 HLA-DPA1 S100A6 TIMP1 TYROBP JUNB PSAP CFD C1QA CFP PSMA7 FCGR3A VIM HLA-DRB5 CTSH LYZ S100A10 FOS JOSD2 IFITM2 TAGLN2 CTSS HNRNPA1 RPL36AL H2AFY HCST CD63 ITGB2 MNDA PPDPF CD300A OAS1 GSTP1 DDX5 BTG1 LY6E BST2 CLIC1 KLF6,feat_2874 feat_3520 feat_7123 feat_3548 feat_4184 feat_7917 feat_9426 feat_1083 feat_2965 feat_2165 feat_3453 feat_1291 feat_6812 feat_5447 feat_8779 feat_8829 feat_7375 feat_3675 feat_6736 feat_7819 feat_3066 feat_8264 feat_6375 feat_8753 feat_4259 feat_7980 feat_4627 feat_3051 feat_2520 feat_6992 feat_7112 feat_3327 feat_6923 feat_7136 feat_5534 feat_8635 feat_5106 feat_6912 feat_3838 feat_7599 feat_2299 feat_7934 feat_6943 feat_2788 feat_7448 feat_4733 feat_7493 feat_5605 feat_3591 feat_2709
1,HMGB2 STMN1 CD52 HIST1H4C CD3D FTL IL32 GIMAP7 RPS24 HNRNPA1 SRP14 PPIA PSMA7 LDHB S100A4 S100A6 GSTK1 CRIP1 EVL CALM3 VIM HLA-DRB1 SSR4 NINJ2 DDX39A CLIC1 RPL36AL HNRNPDL LDHA HNRNPK PTPRCAP TPM3 HMGA1 NPM1 JUNB UQCRFS1 HLA-DPA1 NBEAL1 PRDX1 LSM4 PPP1CC C9orf142 COX7C EIF4A1 POLR2G NDUFB10 ANXA11 SELT PPDPF PPP2R5C,feat_1235 feat_9375 feat_8942 feat_6748 feat_3742 feat_2874 feat_3650 feat_4533 feat_1291 feat_7136 feat_8635 feat_9151 feat_8264 feat_4687 feat_7123 feat_5447 feat_7035 feat_1562 feat_2740 feat_5718 feat_8753 feat_3453 feat_3236 feat_1640 feat_7439 feat_3591 feat_5534 feat_4827 feat_2276 feat_4782 feat_4624 feat_2747 feat_8918 feat_8954 feat_7375 feat_6942 feat_6812 feat_1349 feat_1632 feat_3367 feat_1720 feat_8078 feat_1693 feat_9708 feat_6828 feat_5895 feat_3752 feat_8618 feat_2299 feat_4933
0,LYZ CD74 CST3 HLA-DRA HLA-DRB1 HLA-DPA1 S100A4 RPS24 VIM HLA-DPB1 HLA-DRB5 S100A10 S100A6 FTL HLA-DQA1 GPX1 TXN FCER1G EIF4A1 PPP1R14A CLIC1 AP2S1 HNRNPA1 PPA1 ATP5B PPIA SSR4 LAMTOR1 TAGLN2 DDX5 HLA-DQB1 SRGN HLA-DQA2 COPE JUNB CLIC3 CYB561A3 SRP14 CLEC10A PSMA7 SKP1 TYROBP HLA-DMA RGS19 CD53 RHOC NDUFA11 C10orf54 PSAP ATP6V0E1,feat_4627 feat_3520 feat_2965 feat_9426 feat_3453 feat_6812 feat_7123 feat_1291 feat_8753 feat_1083 feat_4259 feat_3051 feat_5447 feat_2874 feat_9741 feat_4053 feat_3182 feat_2165 feat_9708 feat_2801 feat_3591 feat_2736 feat_7136 feat_9152 feat_8924 feat_9151 feat_3236 feat_9521 feat_3327 feat_7448 feat_8479 feat_6817 feat_1067 feat_1014 feat_7375 feat_3308 feat_7986 feat_8635 feat_3036 feat_8264 feat_1078 feat_8829 feat_2955 feat_5867 feat_3836 feat_4375 feat_7876 feat_9981 feat_3675 feat_6898
