name,anon,label
the metabolite palmitic acid,the metabolite met_8912,1
the metabolite oleic acid,the metabolite met_5196,1
the metabolite stearic acid,the metabolite met_7740,1
the metabolite cholesterol,the metabolite met_8060,1
the metabolite arachidonic acid,the metabolite met_4622,1
the metabolite linoleic acid,the metabolite met_7972,1
the metabolite sphingosine,the metabolite met_6489,1
the metabolite triolein,the metabolite met_6940,1
the metabolite phosphatidylcholine,the metabolite met_4401,1
the metabolite ceramide,the metabolite met_9798,1
the metabolite myristic acid,the metabolite met_9952,1
the metabolite lauric acid,the metabolite met_7923,1
the metabolite cholesteryl ester,the metabolite met_3559,1
the metabolite cardiolipin,the metabolite met_6302,1
the metabolite glucose,the metabolite met_6110,0
the metabolite fructose,the metabolite met_8322,0
the metabolite sucrose,the metabolite met_9455,0
the metabolite lactate,the metabolite met_8910,0
the metabolite pyruvate,the metabolite met_9738,0
the metabolite citrate,the metabolite met_6562,0
the metabolite alanine,the metabolite met_9335,0
the metabolite glutamate,the metabolite met_7376,0
the metabolite glycine,the metabolite met_4960,0
the metabolite adenine,the metabolite met_6081,0
the metabolite uracil,the metabolite met_8762,0
the metabolite ribose,the metabolite met_2898,0
the metabolite galactose,the metabolite met_2759,0
the metabolite mannose,the metabolite met_1019,0
the metabolite succinate,the metabolite met_4650,0
the metabolite fumarate,the metabolite met_6835,0
the metabolite urea,the metabolite met_7603,0
the metabolite creatine,the metabolite met_9140,0
