formula,anon,label
Al: 1,el_3486: 1,0
"Al: 1, Ni: 2, B: 2","el_3486: 1, el_7611: 2, el_8033: 2",1
"Al: 10, Co: 21, B: 19","el_3486: 10, el_9394: 21, el_8033: 19",1
"Al: 10, Co: 23, B: 17","el_3486: 10, el_9394: 23, el_8033: 17",1
"Al: 10, Co: 27, B: 13","el_3486: 10, el_9394: 27, el_8033: 13",1
"Al: 10, Co: 29, B: 11","el_3486: 10, el_9394: 29, el_8033: 11",0
"Al: 10, Co: 31, B: 9","el_3486: 10, el_9394: 31, el_8033: 9",0
"Al: 10, Co: 33, B: 7","el_3486: 10, el_9394: 33, el_8033: 7",0
"Al: 10, Cr: 3, Si: 7","el_3486: 10, el_2802: 3, el_1995: 7",1
"Al: 10, Fe: 23, B: 17","el_3486: 10, el_7694: 23, el_8033: 17",1
"Al: 10, Fe: 27, B: 13","el_3486: 10, el_7694: 27, el_8033: 13",1
"Al: 10, Fe: 31, B: 9","el_3486: 10, el_7694: 31, el_8033: 9",1
"Al: 10, Fe: 33, B: 7","el_3486: 10, el_7694: 33, el_8033: 7",1
"Al: 10, Ni: 23, B: 17","el_3486: 10, el_7611: 23, el_8033: 17",1
"Al: 10, Ni: 27, B: 13","el_3486: 10, el_7611: 27, el_8033: 13",1
"Al: 10, Ni: 29, B: 11","el_3486: 10, el_7611: 29, el_8033: 11",1
"Al: 10, Ni: 31, B: 9","el_3486: 10, el_7611: 31, el_8033: 9",1
"Al: 10, Ni: 33, B: 7","el_3486: 10, el_7611: 33, el_8033: 7",0
"Al: 10, V: 3, Ge: 7","el_3486: 10, el_4182: 3, el_6419: 7",0
"Al: 11, Cr: 3, Si: 6","el_3486: 11, el_2802: 3, el_1995: 6",1
"Al: 11, V: 3, Ge: 6","el_3486: 11, el_4182: 3, el_6419: 6",1
"Al: 11, Cr: 2, Si: 7","el_3486: 11, el_2802: 2, el_1995: 7",1
"Al: 11, Cr: 4, Si: 5","el_3486: 11, el_2802: 4, el_1995: 5",0
"Al: 11, Cr: 5, Si: 4","el_3486: 11, el_2802: 5, el_1995: 4",0
"Al: 11, V: 2, Cu: 7","el_3486: 11, el_4182: 2, el_1377: 7",1
"Al: 11, V: 2, Ge: 7","el_3486: 11, el_4182: 2, el_6419: 7",1
"Al: 11, V: 4, Ge: 5","el_3486: 11, el_4182: 4, el_6419: 5",0
"Al: 12, Co: 21, B: 17","el_3486: 12, el_9394: 21, el_8033: 17",1
"Al: 12, Co: 25, B: 13","el_3486: 12, el_9394: 25, el_8033: 13",1
"Al: 12, Co: 27, B: 11","el_3486: 12, el_9394: 27, el_8033: 11",0
"Al: 12, Cr: 3, Si: 5","el_3486: 12, el_2802: 3, el_1995: 5",1
"Al: 12, Cr: 5, Si: 3","el_3486: 12, el_2802: 5, el_1995: 3",0
"Al: 12, Cr: 1, Si: 7","el_3486: 12, el_2802: 1, el_1995: 7",0
"Al: 12, Ni: 25, B: 13","el_3486: 12, el_7611: 25, el_8033: 13",1
"Al: 12, Ni: 27, B: 11","el_3486: 12, el_7611: 27, el_8033: 11",0
"Al: 12, Ni: 29, B: 9","el_3486: 12, el_7611: 29, el_8033: 9",0
"Al: 12, Ni: 31, B: 7","el_3486: 12, el_7611: 31, el_8033: 7",0
"Al: 12, V: 3, Cu: 5","el_3486: 12, el_4182: 3, el_1377: 5",0
"Al: 12, V: 3, Ge: 5","el_3486: 12, el_4182: 3, el_6419: 5",1
"Al: 12, V: 1, Cu: 7","el_3486: 12, el_4182: 1, el_1377: 7",0
"Al: 12, V: 1, Ge: 7","el_3486: 12, el_4182: 1, el_6419: 7",0
"Al: 13, Cr: 2, Si: 5","el_3486: 13, el_2802: 2, el_1995: 5",1
"Al: 13, Cr: 3, Si: 4","el_3486: 13, el_2802: 3, el_1995: 4",0
"Al: 13, Cr: 4, Ge: 3","el_3486: 13, el_2802: 4, el_6419: 3",0
"Al: 13, Cr: 4, Si: 3","el_3486: 13, el_2802: 4, el_1995: 3",0
"Al: 13, Cr: 5, Si: 2","el_3486: 13, el_2802: 5, el_1995: 2",0
"Al: 13, Fe: 3, Ni: 4","el_3486: 13, el_7694: 3, el_7611: 4",0
"Al: 13, Fe: 4, Cu: 3","el_3486: 13, el_7694: 4, el_1377: 3",1
