name,anon,label
the mineral talc,the mineral mineral_1467,0
the mineral graphite,the mineral mineral_4520,0
the mineral molybdenite,the mineral mineral_4088,0
the mineral gypsum,the mineral mineral_6492,0
the mineral kaolinite,the mineral mineral_1512,0
the mineral stibnite,the mineral mineral_2128,0
the mineral realgar,the mineral mineral_9085,0
the mineral orpiment,the mineral mineral_8723,0
the mineral halite,the mineral mineral_8478,0
the mineral galena,the mineral mineral_6372,0
the mineral muscovite,the mineral mineral_3411,0
the mineral chlorite,the mineral mineral_8021,0
the mineral cinnabar,the mineral mineral_7582,0
the mineral biotite,the mineral mineral_5254,0
the mineral calcite,the mineral mineral_1203,0
the mineral barite,the mineral mineral_4272,0
the mineral bornite,the mineral mineral_7359,0
the mineral chalcopyrite,the mineral mineral_7794,0
the mineral serpentine,the mineral mineral_4291,0
the mineral anhydrite,the mineral mineral_6637,0
the mineral sphalerite,the mineral mineral_3522,0
the mineral dolomite,the mineral mineral_1736,0
the mineral malachite,the mineral mineral_5870,0
the mineral azurite,the mineral mineral_2518,0
the mineral fluorite,the mineral mineral_1139,0
the mineral wolframite,the mineral mineral_6354,0
the mineral scheelite,the mineral mineral_5863,0
the mineral apatite,the mineral mineral_6988,1
the mineral limonite,the mineral mineral_9105,1
the mineral hornblende,the mineral mineral_1944,1
the mineral kyanite,the mineral mineral_7423,1
the mineral goethite,the mineral mineral_3693,1
the mineral hematite,the mineral mineral_4433,1
the mineral arsenopyrite,the mineral mineral_4172,1
the mineral magnetite,the mineral mineral_2127,1
the mineral orthoclase,the mineral mineral_4182,1
the mineral feldspar,the mineral mineral_7483,1
the mineral augite,the mineral mineral_7476,1
the mineral rutile,the mineral mineral_8992,1
the mineral pyrite,the mineral mineral_1093,1
the mineral olivine,the mineral mineral_4059,1
the mineral cassiterite,the mineral mineral_9899,1
the mineral epidote,the mineral mineral_9787,1
the mineral quartz,the mineral mineral_3470,1
the mineral garnet,the mineral mineral_4043,1
the mineral tourmaline,the mineral mineral_9654,1
the mineral staurolite,the mineral mineral_8252,1
the mineral zircon,the mineral mineral_6566,1
the mineral beryl,the mineral mineral_7983,1
the mineral spinel,the mineral mineral_7827,1
the mineral topaz,the mineral mineral_2389,1
the mineral chrysoberyl,the mineral mineral_9595,1
the mineral corundum,the mineral mineral_7158,1
the mineral diamond,the mineral mineral_5759,1
