model,rung,tag,comp,label,pred,conf,route,err
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.7,0.6,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.9,0.75,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.92,0.75,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.9,0.7,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.9,0.7,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.8,0.55,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.9,0.7,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.55,0.5,DEFER,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.9,0.6,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.9,0.6,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.85,0.6,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.92,0.8,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.9,0.6,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.2,0.5,DEFER,1
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.1,0.55,DEFER,1
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.95,0.85,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.93,0.7,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.55,0.5,DEFER,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.85,0.6,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.9,0.7,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.9,0.7,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.85,0.6,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.85,0.6,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.85,0.6,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.92,0.7,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.9,0.7,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.85,0.6,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.93,0.85,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.85,0.6,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.8,0.55,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.85,0.6,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.85,0.6,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.6,0.5,DEFER,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.45,0.5,DEFER,1
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.9,0.7,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.93,0.8,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.95,0.85,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.9,0.7,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.97,0.9,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.85,0.6,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.03,0.85,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.45,0.5,DEFER,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.03,0.85,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.05,0.8,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.1,0.65,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.05,0.7,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.03,0.8,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.05,0.8,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.2,0.45,DEFER,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.05,0.85,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.02,0.85,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.02,0.9,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.03,0.85,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.35,0.55,DEFER,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.03,0.7,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.03,0.85,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.05,0.8,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.15,0.6,DEFER,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.05,0.75,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.2,0.4,DEFER,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.05,0.8,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.03,0.85,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.05,0.8,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.55,0.5,DEFER,1
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.05,0.75,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.05,0.8,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.7,0.55,DEFER,1
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.03,0.85,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.03,0.85,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.05,0.6,DEFER,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.03,0.85,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.05,0.7,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.55,0.5,DEFER,1
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.05,0.85,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.45,0.55,DEFER,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.02,0.85,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.03,0.85,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.03,0.8,SELF,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.15,0.55,DEFER,0
claude-opus-4-8,sc_cellsentence,web-rich,in,0,0.03,0.85,SELF,0
claude-opus-4-8,msa_conserv,web-rich,in,1,0.82,0.55,SELF,0
claude-opus-4-8,msa_conserv,web-rich,in,1,0.82,0.55,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,1,0.85,0.6,SELF,0
claude-opus-4-8,msa_conserv,web-rich,in,1,0.85,0.6,SELF,0
claude-opus-4-8,msa_conserv,web-rich,in,1,0.9,0.6,SELF,0
claude-opus-4-8,msa_conserv,web-rich,in,1,0.2,0.3,DEFER,1
claude-opus-4-8,msa_conserv,web-rich,in,1,0.55,0.3,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,1,0.95,0.85,SELF,0
claude-opus-4-8,msa_conserv,web-rich,in,1,0.9,0.6,SELF,0
claude-opus-4-8,msa_conserv,web-rich,in,1,0.82,0.6,SELF,0
claude-opus-4-8,msa_conserv,web-rich,in,1,0.85,0.55,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,1,0.9,0.6,SELF,0
claude-opus-4-8,msa_conserv,web-rich,in,1,0.85,0.6,SELF,0
claude-opus-4-8,msa_conserv,web-rich,in,1,0.85,0.4,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,1,0.62,0.4,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,1,0.85,0.6,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,1,0.15,0.4,DEFER,1
claude-opus-4-8,msa_conserv,web-rich,in,1,0.85,0.4,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,1,0.85,0.5,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,1,0.72,0.4,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,1,0.55,0.3,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,1,0.85,0.6,SELF,0
claude-opus-4-8,msa_conserv,web-rich,in,1,0.45,0.3,DEFER,1
claude-opus-4-8,msa_conserv,web-rich,in,1,0.45,0.3,DEFER,1
claude-opus-4-8,msa_conserv,web-rich,in,1,0.9,0.6,SELF,0
claude-opus-4-8,msa_conserv,web-rich,in,1,0.85,0.6,SELF,0
claude-opus-4-8,msa_conserv,web-rich,in,1,0.85,0.4,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,1,0.8,0.45,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,1,0.82,0.5,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,1,0.85,0.4,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,1,0.62,0.4,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,1,0.95,0.75,SELF,0
claude-opus-4-8,msa_conserv,web-rich,in,1,0.72,0.4,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,1,0.85,0.5,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,1,0.15,0.4,DEFER,1
claude-opus-4-8,msa_conserv,web-rich,in,1,0.25,0.4,DEFER,1
claude-opus-4-8,msa_conserv,web-rich,in,1,0.85,0.6,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,1,0.45,0.3,DEFER,1
claude-opus-4-8,msa_conserv,web-rich,in,1,0.85,0.4,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,1,0.55,0.3,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.15,0.3,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.3,0.3,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.25,0.3,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.2,0.3,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.35,0.3,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.2,0.3,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.35,0.3,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.15,0.3,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.5,0.0,SELF,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.2,0.3,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.5,0.0,SELF,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.15,0.4,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.3,0.3,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.55,0.4,DEFER,1
claude-opus-4-8,msa_conserv,web-rich,in,0,0.3,0.2,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.15,0.4,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.35,0.5,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.3,0.2,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.3,0.2,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.45,0.3,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.15,0.4,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.15,0.4,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.4,0.3,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.15,0.4,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.2,0.3,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.4,0.2,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.15,0.4,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.25,0.3,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.45,0.3,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.2,0.3,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.15,0.4,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.65,0.35,DEFER,1
claude-opus-4-8,msa_conserv,web-rich,in,0,0.15,0.3,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.25,0.3,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.15,0.4,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.1,0.4,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.25,0.4,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.15,0.5,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.2,0.3,DEFER,0
claude-opus-4-8,msa_conserv,web-rich,in,0,0.3,0.2,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,1,0.2,0.3,DEFER,1
claude-opus-4-8,dna_promoter,web-rich,in,1,0.4,0.2,DEFER,1
claude-opus-4-8,dna_promoter,web-rich,in,1,0.6,0.2,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,1,0.65,0.2,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,1,0.3,0.2,DEFER,1
claude-opus-4-8,dna_promoter,web-rich,in,1,0.4,0.2,DEFER,1
claude-opus-4-8,dna_promoter,web-rich,in,1,0.5,0.2,DEFER,1
claude-opus-4-8,dna_promoter,web-rich,in,1,0.75,0.3,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,1,0.5,0.15,DEFER,1
claude-opus-4-8,dna_promoter,web-rich,in,1,0.85,0.4,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,1,0.6,0.2,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,1,0.3,0.2,DEFER,1
claude-opus-4-8,dna_promoter,web-rich,in,1,0.8,0.3,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,1,0.3,0.2,DEFER,1
claude-opus-4-8,dna_promoter,web-rich,in,1,0.85,0.4,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,1,0.4,0.2,DEFER,1
claude-opus-4-8,dna_promoter,web-rich,in,1,0.5,0.2,DEFER,1
claude-opus-4-8,dna_promoter,web-rich,in,1,0.2,0.3,DEFER,1
claude-opus-4-8,dna_promoter,web-rich,in,1,0.8,0.3,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,1,0.5,0.2,DEFER,1
claude-opus-4-8,dna_promoter,web-rich,in,1,0.85,0.4,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,1,0.7,0.3,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,1,0.85,0.3,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,1,0.5,0.2,DEFER,1
claude-opus-4-8,dna_promoter,web-rich,in,1,0.65,0.3,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,1,0.3,0.2,DEFER,1
claude-opus-4-8,dna_promoter,web-rich,in,1,0.5,0.15,DEFER,1
claude-opus-4-8,dna_promoter,web-rich,in,1,0.8,0.3,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,1,0.2,0.3,DEFER,1
claude-opus-4-8,dna_promoter,web-rich,in,1,0.5,0.15,DEFER,1
claude-opus-4-8,dna_promoter,web-rich,in,1,0.85,0.3,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,1,0.65,0.2,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,1,0.6,0.3,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,1,0.75,0.3,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,1,0.3,0.2,DEFER,1
claude-opus-4-8,dna_promoter,web-rich,in,1,0.5,0.15,DEFER,1
claude-opus-4-8,dna_promoter,web-rich,in,1,0.85,0.4,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,1,0.85,0.4,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,1,0.85,0.4,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,1,0.75,0.3,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.2,0.3,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.3,0.2,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.5,0.15,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.2,0.25,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.2,0.3,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.5,0.15,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.2,0.3,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.2,0.2,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.2,0.3,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.2,0.2,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.2,0.3,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.2,0.3,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.15,0.3,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.3,0.2,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.15,0.3,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.65,0.3,DEFER,1
claude-opus-4-8,dna_promoter,web-rich,in,0,0.15,0.3,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.2,0.3,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.15,0.3,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.5,0.2,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.25,0.2,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.3,0.2,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.3,0.2,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.3,0.2,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.3,0.2,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.3,0.2,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.2,0.3,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.15,0.3,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.2,0.2,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.3,0.2,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.3,0.2,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.2,0.3,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.2,0.3,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.6,0.2,DEFER,1
claude-opus-4-8,dna_promoter,web-rich,in,0,0.15,0.3,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.3,0.2,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.2,0.3,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.5,0.15,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.2,0.3,DEFER,0
claude-opus-4-8,dna_promoter,web-rich,in,0,0.2,0.3,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.05,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,1,0.5,0.02,DEFER,1
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
claude-opus-4-8,sc_anon,web-zero,out,0,0.5,0.02,DEFER,0
